Date Time,Wind Speed (m/s),Pressure (atm),Air temperature (deg C),Wind direction (deg)
01.01.2010 00:00:00,8.99667,0.882466,13.1823,176.667
01.01.2010 01:00:00,9.796,0.884307,13.1623,180.667
01.01.2010 02:00:00,10.5883,0.886116,13.1423,182.333
01.01.2010 03:00:00,11.293,0.887332,12.6823,188.667
01.01.2010 04:00:00,10.1317,0.887134,11.829,201
01.01.2010 05:00:00,11.4293,0.885522,11.0757,200.667
01.01.2010 06:00:00,11.8537,0.889434,10.449,206.667
01.01.2010 07:00:00,11.3643,0.886935,10.1157,214.667
01.01.2010 08:00:00,10.2797,0.887033,9.629,228.667
01.01.2010 09:00:00,11.371,0.88848,10.249,235
01.01.2010 10:00:00,11.618,0.885324,11.129,246.667
01.01.2010 11:00:00,10.309,0.886179,10.6157,257.667
01.01.2010 12:00:00,9.503,0.886804,10.349,283.667
01.01.2010 13:00:00,8.395,0.885058,8.47233,307.333
01.01.2010 14:00:00,7.28267,0.883346,6.59567,325.333
01.01.2010 15:00:00,8.82067,0.885713,6.229,323
01.01.2010 16:00:00,6.03767,0.882097,7.36233,309.333
01.01.2010 17:00:00,3.50967,0.881112,8.79567,297.333
01.01.2010 18:00:00,3.935,0.880752,10.3157,226.667
01.01.2010 19:00:00,4.515,0.879374,12.829,208.667
01.01.2010 20:00:00,5.93433,0.879903,15.329,216.667
01.01.2010 21:00:00,6.81467,0.880564,17.429,211.667
01.01.2010 22:00:00,7.77833,0.880302,18.629,220
01.01.2010 23:00:00,6.818,0.880566,19.149,233
02.01.2010 00:00:00,6.58633,0.881354,18.9957,217
02.01.2010 01:00:00,9.86833,0.881321,18.5123,192.667
02.01.2010 02:00:00,13.1497,0.881189,18.029,187.667
02.01.2010 03:00:00,13.713,0.882668,17.249,196
02.01.2010 04:00:00,13.9373,0.879773,16.6623,208.333
02.01.2010 05:00:00,14.2217,0.884804,16.349,219
02.01.2010 06:00:00,15.0347,0.883226,16.229,224.333
02.01.2010 07:00:00,15.325,0.88043,15.5623,224.333
02.01.2010 08:00:00,15.917,0.881151,13.8623,229
02.01.2010 09:00:00,14.0423,0.879274,11.3157,234
02.01.2010 10:00:00,13.541,0.879667,10.429,263.333
02.01.2010 11:00:00,12.0123,0.880589,11.4823,278.333
02.01.2010 12:00:00,9.74733,0.88115,12.9157,296.667
02.01.2010 13:00:00,10.1977,0.880229,13.1257,248.333
02.01.2010 14:00:00,10.6553,0.879276,13.349,251.333
02.01.2010 15:00:00,12.7537,0.880459,12.4957,269
02.01.2010 16:00:00,10.2213,0.876347,11.309,278.333
02.01.2010 17:00:00,6.33867,0.874473,11.5757,252.333
02.01.2010 18:00:00,4.40033,0.878553,13.309,275
02.01.2010 19:00:00,3.51,0.876878,15.329,251
02.01.2010 20:00:00,2.838,0.874447,17.229,259
02.01.2010 21:00:00,3.16867,0.876355,18.609,323
02.01.2010 22:00:00,4.16267,0.874942,19.029,14
02.01.2010 23:00:00,3.33533,0.875961,18.729,41
03.01.2010 00:00:00,2.04633,0.875862,18.249,88
03.01.2010 01:00:00,3.772,0.874547,18.1723,173.333
03.01.2010 02:00:00,5.48633,0.873231,18.0957,165.667
03.01.2010 03:00:00,5.123,0.874251,18.1157,164.333
03.01.2010 04:00:00,5.252,0.87619,17.9157,182.667
03.01.2010 05:00:00,5.83667,0.874907,17.729,192.667
03.01.2010 06:00:00,6.96467,0.875532,17.3623,234.667
03.01.2010 07:00:00,7.90333,0.875795,17.149,261.333
03.01.2010 08:00:00,8.23667,0.875136,16.7157,300
03.01.2010 09:00:00,7.19167,0.87632,16.0623,328.333
03.01.2010 10:00:00,6.90967,0.871255,14.929,340.333
03.01.2010 11:00:00,7.413,0.87214,13.2157,333
03.01.2010 12:00:00,9.216,0.87444,11.8957,325.667
03.01.2010 13:00:00,9.06033,0.872468,12.069,315
03.01.2010 14:00:00,8.90067,0.870462,12.249,330.333
03.01.2010 15:00:00,11.6383,0.874376,12.6957,328.333
03.01.2010 16:00:00,10.196,0.871678,11.829,332.333
03.01.2010 17:00:00,8.93667,0.868553,11.1623,303
03.01.2010 18:00:00,7.213,0.86826,13.5157,296
03.01.2010 19:00:00,8.52633,0.86823,16.409,282
03.01.2010 20:00:00,9.00433,0.867543,19.109,275
03.01.2010 21:00:00,8.15833,0.869518,21.0157,263.667
03.01.2010 22:00:00,6.45433,0.867053,22.329,252
03.01.2010 23:00:00,5.323,0.865837,23.149,241
04.01.2010 00:00:00,5.96,0.867614,23.8823,218.333
04.01.2010 01:00:00,10.9867,0.866922,22.9857,223.667
04.01.2010 02:00:00,16.0167,0.866198,22.0957,242
04.01.2010 03:00:00,17.6037,0.867511,20.649,245
04.01.2010 04:00:00,19.205,0.866721,19.4623,250
04.01.2010 05:00:00,18.674,0.868496,18.649,255
04.01.2010 06:00:00,17.581,0.868331,17.929,265
04.01.2010 07:00:00,16.8793,0.868297,17.309,268
