Date Time,Wind Speed (m/s),Pressure (atm),Air temperature (deg C),Wind direction (deg)
01.01.2010 00:00:00,11.7803,0.964698,19.2263,122.667
01.01.2010 01:00:00,9.31333,0.963217,18.4463,132
01.01.2010 02:00:00,9.863,0.96477,18.9797,132.667
01.01.2010 03:00:00,9.129,0.962647,18.8263,140
01.01.2010 04:00:00,7.671,0.961571,18.593,145
01.01.2010 05:00:00,7.66067,0.961952,18.573,145.333
01.01.2010 06:00:00,9.00567,0.961738,19.3263,150.333
01.01.2010 07:00:00,9.15467,0.962774,19.1397,171.667
01.01.2010 08:00:00,9.299,0.963906,18.9597,174.667
01.01.2010 09:00:00,9.737,0.962658,18.9397,167.667
01.01.2010 10:00:00,9.701,0.962043,18.5263,187
01.01.2010 11:00:00,9.26367,0.964416,17.3263,188
01.01.2010 12:00:00,8.40967,0.963946,17.413,197.667
01.01.2010 13:00:00,7.35,0.962609,18.4397,220.333
01.01.2010 14:00:00,5.531,0.965298,19.493,217.667
01.01.2010 15:00:00,5.38933,0.962787,20.2797,217.667
01.01.2010 16:00:00,4.587,0.959954,20.713,204.333
01.01.2010 17:00:00,4.65967,0.962896,20.7463,187.333
01.01.2010 18:00:00,6.34533,0.960984,20.4597,180.333
01.01.2010 19:00:00,7.998,0.961291,19.6597,163
01.01.2010 20:00:00,9.65767,0.961692,18.8597,151.667
01.01.2010 21:00:00,10.156,0.959624,18.273,156.667
01.01.2010 22:00:00,8.54633,0.960595,18.413,170
01.01.2010 23:00:00,6.77733,0.962938,17.8797,180
02.01.2010 00:00:00,4.62467,0.963826,18.1463,170.333
02.01.2010 01:00:00,5.439,0.962997,18.4797,191
02.01.2010 02:00:00,5.732,0.962813,18.5597,169.667
02.01.2010 03:00:00,5.73933,0.963285,18.493,169.333
02.01.2010 04:00:00,6.80267,0.963209,18.693,168.333
02.01.2010 05:00:00,7.36033,0.962231,18.493,170.667
02.01.2010 06:00:00,8.196,0.960712,18.6263,174.667
02.01.2010 07:00:00,7.64233,0.962225,18.4297,180
02.01.2010 08:00:00,7.08867,0.963674,18.2263,181.667
02.01.2010 09:00:00,4.68733,0.964256,18.293,185.333
02.01.2010 10:00:00,4.92633,0.962019,18.2797,195.667
02.01.2010 11:00:00,3.382,0.962626,18.2797,206.333
02.01.2010 12:00:00,3.63867,0.964989,18.2797,188
02.01.2010 13:00:00,3.70733,0.962908,18.2263,181.667
02.01.2010 14:00:00,6.29067,0.964213,18.1797,148.667
02.01.2010 15:00:00,7.45867,0.961343,18.2263,133.333
02.01.2010 16:00:00,7.357,0.962901,18.4797,128.333
02.01.2010 17:00:00,9.53033,0.962343,18.6597,135.333
02.01.2010 18:00:00,10.8947,0.961014,18.7797,143.667
02.01.2010 19:00:00,11.0133,0.960483,19.2363,141
02.01.2010 20:00:00,11.14,0.959857,19.693,139.667
02.01.2010 21:00:00,10.8257,0.961498,19.8263,141.667
02.01.2010 22:00:00,10.9773,0.960734,19.8463,146
02.01.2010 23:00:00,9.70433,0.963128,19.8263,148.667
03.01.2010 00:00:00,11.636,0.961783,19.793,157.667
03.01.2010 01:00:00,12.8327,0.961591,19.793,166
03.01.2010 02:00:00,14.11,0.962643,19.7797,170.667
03.01.2010 03:00:00,13.6473,0.959865,19.7797,179
03.01.2010 04:00:00,11.954,0.960524,19.6597,192
03.01.2010 05:00:00,11.0757,0.959949,19.6597,197
03.01.2010 06:00:00,10.092,0.959643,19.4597,188.667
03.01.2010 07:00:00,11.068,0.960177,19.0463,191
03.01.2010 08:00:00,12.045,0.960712,18.6263,185
03.01.2010 09:00:00,13.5857,0.95851,18.6463,183
03.01.2010 10:00:00,13.4013,0.961488,18.7263,181
03.01.2010 11:00:00,13.911,0.959194,18.7797,174
03.01.2010 12:00:00,13.7663,0.959598,18.993,172.667
03.01.2010 13:00:00,14.4793,0.958747,19.113,168.667
03.01.2010 14:00:00,15.846,0.959135,19.1597,167.667
03.01.2010 15:00:00,15.781,0.957394,19.3263,169.667
03.01.2010 16:00:00,15.9547,0.955336,19.513,165.667
03.01.2010 17:00:00,16.5333,0.954207,19.7263,165
03.01.2010 18:00:00,16.6313,0.953442,19.7463,165.667
03.01.2010 19:00:00,16.682,0.954215,19.1463,161.667
03.01.2010 20:00:00,16.7393,0.954924,18.5463,164.667
03.01.2010 21:00:00,16.345,0.955068,18.713,171
03.01.2010 22:00:00,17.5857,0.956493,18.9263,176
03.01.2010 23:00:00,16.3133,0.957581,19.2797,180
04.01.2010 00:00:00,15.5463,0.957812,19.3597,185
04.01.2010 01:00:00,15.459,0.956088,19.3597,189
04.01.2010 02:00:00,15.3477,0.956366,19.2597,189
04.01.2010 03:00:00,14.2187,0.955216,19.2597,194
04.01.2010 04:00:00,13.2453,0.955137,19.4397,197
04.01.2010 05:00:00,13.148,0.95396,19.1463,203
04.01.2010 06:00:00,12.3737,0.954905,19.013,208
04.01.2010 07:00:00,11.777,0.954669,18.5497,203
04.01.2010 08:00:00,11.1693,0.954432,18.093,201.667
04.01.2010 09:00:00,9.839,0.958346,17.9397,199.667
04.01.2010 10:00:00,9.54533,0.956515,17.8397,197
04.01.2010 11:00:00,7.27433,0.957962,17.9397,198
04.01.2010 12:00:00,6.50367,0.957485,17.9597,192.667
04.01.2010 13:00:00,7.60333,0.953483,18.173,185.667
04.01.2010 14:00:00,5.58433,0.956584,18.5463,190.333
04.01.2010 15:00:00,7.11467,0.954807,18.993,171.667
04.01.2010 16:00:00,5.31333,0.954354,19.2597,180
04.01.2010 17:00:00,3.61067,0.955011,20.1263,177.333
04.01.2010 18:00:00,3.61833,0.953557,20.2797,165.333
04.01.2010 19:00:00,5.40567,0.953849,20.3263,158
04.01.2010 20:00:00,7.189,0.954142,20.3797,148.667
04.01.2010 21:00:00,5.64,0.95665,20.2263,186
04.01.2010 22:00:00,4.46767,0.957712,20.313,204.667
04.01.2010 23:00:00,5.75333,0.958325,20.713,183.333
05.01.2010 00:00:00,5.565,0.957086,20.773,201
05.01.2010 01:00:00,4.526,0.956321,20.793,220
05.01.2010 02:00:00,3.71233,0.95748,20.893,233.667
05.01.2010 03:00:00,5.817,0.95784,20.6463,248.667
05.01.2010 04:00:00,6.68767,0.957752,20.7263,266
05.01.2010 05:00:00,5.19033,0.957775,21.3063,287
05.01.2010 06:00:00,5.64233,0.956366,21.6063,304.333
05.01.2010 07:00:00,6.467,0.958192,20.3163,304.667
05.01.2010 08:00:00,7.28467,0.96008,19.0263,6.66667
05.01.2010 09:00:00,9.71533,0.959566,18.673,21.3333
05.01.2010 10:00:00,11.028,0.959509,18.0797,27.6667
05.01.2010 11:00:00,11.4263,0.959364,17.5797,31.6667
05.01.2010 12:00:00,10.414,0.961495,17.493,34.6667
05.01.2010 13:00:00,9.07867,0.960524,17.3597,53.6667
05.01.2010 14:00:00,9.958,0.958373,17.2463,73.6667
05.01.2010 15:00:00,8.88767,0.956646,17.213,77.6667
05.01.2010 16:00:00,8.106,0.95587,17.113,74
05.01.2010 17:00:00,8.27667,0.956062,17.113,69.6667
05.01.2010 18:00:00,7.94733,0.955956,17.013,45.6667
05.01.2010 19:00:00,8.98533,0.957041,17.333,43.6667
05.01.2010 20:00:00,10.016,0.958127,17.6597,45.6667
05.01.2010 21:00:00,10.3093,0.958114,17.5263,41.6667
05.01.2010 22:00:00,11.3397,0.957048,17.413,51.6667
05.01.2010 23:00:00,11.311,0.957997,17.313,49.6667
06.01.2010 00:00:00,10.667,0.959264,17.213,51
06.01.2010 01:00:00,11.239,0.957899,17.293,41
06.01.2010 02:00:00,13.724,0.957315,17.193,45
06.01.2010 03:00:00,14.1073,0.958467,16.893,45.6667
06.01.2010 04:00:00,13.865,0.957939,16.393,43
06.01.2010 05:00:00,14.7587,0.957141,16.0797,44.6667
06.01.2010 06:00:00,14.914,0.956907,15.973,48
06.01.2010 07:00:00,15.4963,0.957342,15.523,40
06.01.2010 08:00:00,16.0717,0.957777,15.0797,37.6667
06.01.2010 09:00:00,16.3973,0.963361,14.093,30.6667
06.01.2010 10:00:00,14.618,0.960723,13.893,35
06.01.2010 11:00:00,14.118,0.961306,13.973,37
06.01.2010 12:00:00,14.263,0.959901,13.973,39
06.01.2010 13:00:00,13.0113,0.960539,13.973,34
06.01.2010 14:00:00,12.8527,0.960972,13.193,19
06.01.2010 15:00:00,13.1673,0.958911,12.693,13.6667
06.01.2010 16:00:00,14.6647,0.959591,12.793,15
06.01.2010 17:00:00,14.6647,0.961141,12.973,18
06.01.2010 18:00:00,15.0663,0.959983,12.8797,14.6667
06.01.2010 19:00:00,15.8473,0.959431,11.223,3
06.01.2010 20:00:00,16.6327,0.95888,9.57967,358
06.01.2010 21:00:00,16.285,0.961006,9.473,6.66667
06.01.2010 22:00:00,15.6557,0.963537,9.87967,13
06.01.2010 23:00:00,15.5803,0.965129,10.773,20
07.01.2010 00:00:00,14.5343,0.96384,11.273,24
07.01.2010 01:00:00,13.435,0.963075,11.273,23
07.01.2010 02:00:00,12.8637,0.963139,10.973,17
07.01.2010 03:00:00,12.95,0.963195,10.5797,11
07.01.2010 04:00:00,13.793,0.963442,9.87967,6
07.01.2010 05:00:00,14.2847,0.962741,8.973,2
07.01.2010 06:00:00,13.5793,0.963859,8.67967,5.66667
07.01.2010 07:00:00,13.916,0.964713,7.69967,353
07.01.2010 08:00:00,14.2637,0.965568,6.72633,349
07.01.2010 09:00:00,13.97,0.963025,6.213,349
07.01.2010 10:00:00,13.7353,0.962707,6.52633,357
07.01.2010 11:00:00,12.3607,0.963781,6.72633,352
07.01.2010 12:00:00,12.3607,0.968947,6.713,346
07.01.2010 13:00:00,10.682,0.964256,6.693,346
07.01.2010 14:00:00,11.004,0.962661,6.993,352
07.01.2010 15:00:00,10.2627,0.960182,7.37967,352
07.01.2010 16:00:00,11.1523,0.963212,7.67967,353
07.01.2010 17:00:00,10.5883,0.963328,7.87967,351.667
07.01.2010 18:00:00,10.2297,0.961596,8.093,1
07.01.2010 19:00:00,10.9753,0.961632,7.21967,359.667
07.01.2010 20:00:00,11.7203,0.961731,6.33967,2
07.01.2010 21:00:00,11.2103,0.963248,7.113,0
07.01.2010 22:00:00,11.2753,0.966343,7.42633,0
07.01.2010 23:00:00,9.44133,0.965035,7.72633,358.667
08.01.2010 00:00:00,8.92033,0.963131,7.82633,356.667
08.01.2010 01:00:00,9.615,0.962536,7.62633,345
08.01.2010 02:00:00,11.525,0.963099,6.613,335
08.01.2010 03:00:00,12.1973,0.960465,5.22633,324
08.01.2010 04:00:00,12.6387,0.960675,4.513,330
08.01.2010 05:00:00,12.125,0.960547,4.213,331
08.01.2010 06:00:00,11.5543,0.95909,4.013,335
08.01.2010 07:00:00,11.8653,0.959744,3.863,325
08.01.2010 08:00:00,12.1867,0.960493,3.713,325
08.01.2010 09:00:00,11.601,0.962948,3.413,319.667
08.01.2010 10:00:00,10.2193,0.962131,3.52633,332
08.01.2010 11:00:00,7.49167,0.961229,4.32633,351
08.01.2010 12:00:00,6.808,0.961175,4.713,317
08.01.2010 13:00:00,9.26433,0.960033,4.773,305
08.01.2010 14:00:00,9.62967,0.960768,5.37967,308
08.01.2010 15:00:00,10.313,0.958917,5.973,310
08.01.2010 16:00:00,7.50633,0.959132,5.293,299
08.01.2010 17:00:00,9.40167,0.959068,4.693,292
08.01.2010 18:00:00,8.555,0.958876,4.693,292
08.01.2010 19:00:00,9.57533,0.960071,5.12967,325
08.01.2010 20:00:00,10.592,0.961329,5.55967,344
08.01.2010 21:00:00,7.513,0.963404,6.17967,358
08.01.2010 22:00:00,5.75867,0.962023,6.393,342
08.01.2010 23:00:00,6.58,0.963395,6.693,348
09.01.2010 00:00:00,4.95233,0.96449,7.093,336
09.01.2010 01:00:00,6.186,0.965479,6.793,290
09.01.2010 02:00:00,9.09067,0.963884,5.893,275
09.01.2010 03:00:00,9.88633,0.962117,5.473,282.667
09.01.2010 04:00:00,10.2953,0.963552,5.473,283
09.01.2010 05:00:00,10.2443,0.962702,5.57967,290
09.01.2010 06:00:00,9.79933,0.962597,5.493,289
09.01.2010 07:00:00,8.89833,0.963682,5.793,288
09.01.2010 08:00:00,7.99467,0.96467,6.093,270
09.01.2010 09:00:00,9.71233,0.967539,6.07967,258
09.01.2010 10:00:00,12.5447,0.965031,5.87967,273
09.01.2010 11:00:00,12.6097,0.964605,6.67967,292
09.01.2010 12:00:00,14.104,0.966775,7.893,297
09.01.2010 13:00:00,13.938,0.965645,9.293,299
09.01.2010 14:00:00,14.2013,0.965503,10.3797,297
09.01.2010 15:00:00,13.395,0.963851,11.3797,300
09.01.2010 16:00:00,12.9937,0.962988,11.993,302
09.01.2010 17:00:00,11.1633,0.963466,12.293,308
09.01.2010 18:00:00,9.10833,0.963006,12.473,306
09.01.2010 19:00:00,7.18067,0.964876,12.9863,334
09.01.2010 20:00:00,5.256,0.966747,13.493,325
09.01.2010 21:00:00,3.85967,0.966077,13.493,311
09.01.2010 22:00:00,2.72033,0.967161,13.793,307
09.01.2010 23:00:00,2.43433,0.967297,14.193,275
10.01.2010 00:00:00,1.718,0.967932,14.793,254
10.01.2010 01:00:00,3.089,0.964207,15.213,241
10.01.2010 02:00:00,3.122,0.963664,15.213,237.333
10.01.2010 03:00:00,3.201,0.963768,15.293,217
10.01.2010 04:00:00,7.36167,0.961288,15.393,212
10.01.2010 05:00:00,10.0413,0.959483,14.5797,223
10.01.2010 06:00:00,13.792,0.960556,11.9263,227
10.01.2010 07:00:00,12.4033,0.962515,11.4197,226
10.01.2010 08:00:00,11.0147,0.964473,10.913,226
10.01.2010 09:00:00,9.90067,0.963145,11.0263,218
10.01.2010 10:00:00,10.5697,0.959346,10.393,236
10.01.2010 11:00:00,9.15567,0.960628,9.82633,247
10.01.2010 12:00:00,9.22433,0.964838,10.4263,244
10.01.2010 13:00:00,8.873,0.961438,11.193,242
10.01.2010 14:00:00,9.159,0.96019,12.093,230
10.01.2010 15:00:00,9.57867,0.959505,12.893,221.667
10.01.2010 16:00:00,9.30033,0.958351,13.793,223
10.01.2010 17:00:00,8.16433,0.957856,14.593,239
10.01.2010 18:00:00,7.62133,0.958357,14.813,273
10.01.2010 19:00:00,7.3,0.959758,15.413,292
10.01.2010 20:00:00,6.97433,0.961125,16.013,326
10.01.2010 21:00:00,5.021,0.961529,15.893,359
10.01.2010 22:00:00,8.233,0.958967,15.493,20
10.01.2010 23:00:00,13.2543,0.959414,13.893,26
11.01.2010 00:00:00,15.884,0.963307,11.6797,35
11.01.2010 01:00:00,15.6557,0.965151,10.6797,36.6667
11.01.2010 02:00:00,15.1857,0.963737,10.273,35
11.01.2010 03:00:00,14.0207,0.962282,10.0797,39
11.01.2010 04:00:00,14.0103,0.961602,9.67967,43
11.01.2010 05:00:00,13.3193,0.960976,9.493,50
11.01.2010 06:00:00,13.3917,0.962251,9.473,51
11.01.2010 07:00:00,13.8507,0.963277,9.223,32
11.01.2010 08:00:00,14.3103,0.964273,8.973,32
11.01.2010 09:00:00,15.0627,0.964029,8.473,35.6667
11.01.2010 10:00:00,14.003,0.96492,8.45967,38.6667
11.01.2010 11:00:00,12.7187,0.965327,8.67967,46
11.01.2010 12:00:00,12.9323,0.966603,8.993,46
11.01.2010 13:00:00,12.6317,0.964688,9.293,47
11.01.2010 14:00:00,12.1903,0.964485,9.793,47
11.01.2010 15:00:00,11.7453,0.96355,10.313,40
11.01.2010 16:00:00,12.4113,0.960911,10.713,49
11.01.2010 17:00:00,12.44,0.960143,11.6263,57
11.01.2010 18:00:00,12.6317,0.959831,12.3263,58
11.01.2010 19:00:00,13.97,0.960578,11.2063,43
11.01.2010 20:00:00,15.305,0.961326,10.093,47
11.01.2010 21:00:00,15.2793,0.962625,10.6263,49
11.01.2010 22:00:00,13.8977,0.964379,10.9263,44
11.01.2010 23:00:00,13.829,0.96476,10.913,39.6667
12.01.2010 00:00:00,14.6573,0.96591,10.613,37
12.01.2010 01:00:00,15.0013,0.96559,10.293,34
12.01.2010 02:00:00,16.007,0.96574,9.893,31
12.01.2010 03:00:00,16.531,0.963826,9.893,33
12.01.2010 04:00:00,15.92,0.962911,10.613,35
12.01.2010 05:00:00,15.6373,0.962728,11.6263,36
12.01.2010 06:00:00,16.086,0.963928,12.1263,35
12.01.2010 07:00:00,15.9273,0.964395,12.0197,42
12.01.2010 08:00:00,15.7677,0.964863,11.913,42
12.01.2010 09:00:00,16.6503,0.96563,11.9263,40
12.01.2010 10:00:00,16.7337,0.964728,11.5263,33
12.01.2010 11:00:00,17.3633,0.964635,10.6263,27
12.01.2010 12:00:00,17.609,0.967104,9.513,20
12.01.2010 13:00:00,18.1337,0.967,8.213,13
12.01.2010 14:00:00,18.3613,0.966969,7.013,10
12.01.2010 15:00:00,18.3577,0.964992,6.413,12
12.01.2010 16:00:00,18.4483,0.965278,6.413,12
12.01.2010 17:00:00,18.7053,0.964088,6.313,11
12.01.2010 18:00:00,18.998,0.964683,6.213,14
12.01.2010 19:00:00,18.973,0.966192,4.813,358
12.01.2010 20:00:00,18.9437,0.96773,3.413,2
12.01.2010 21:00:00,19.5013,0.971342,3.793,6
12.01.2010 22:00:00,18.1737,0.969452,4.293,5
12.01.2010 23:00:00,19.02,0.972468,3.593,355
13.01.2010 00:00:00,19.349,0.971241,1.993,352
13.01.2010 01:00:00,19.6997,0.971725,1.17967,355
13.01.2010 02:00:00,18.4197,0.971072,2.193,359
13.01.2010 03:00:00,18.6547,0.970734,2.893,359.667
13.01.2010 04:00:00,16.9763,0.970738,3.513,358
13.01.2010 05:00:00,15.616,0.969315,3.913,356
13.01.2010 06:00:00,16.405,0.971514,3.613,356
13.01.2010 07:00:00,16.893,0.972348,3.363,347
13.01.2010 08:00:00,17.3703,0.973245,3.113,350.667
13.01.2010 09:00:00,17.0343,0.973434,3.093,353
13.01.2010 10:00:00,17.1757,0.973149,3.113,353
13.01.2010 11:00:00,17.725,0.974283,2.693,355
13.01.2010 12:00:00,16.571,0.976017,2.813,359
13.01.2010 13:00:00,16.1627,0.974816,3.193,357
13.01.2010 14:00:00,14.1407,0.974914,3.213,354
13.01.2010 15:00:00,14.1837,0.97248,3.113,348
13.01.2010 16:00:00,14.017,0.971244,3.17967,352.667
13.01.2010 17:00:00,13.3083,0.970437,3.37967,355
13.01.2010 18:00:00,13.1563,0.971809,3.67967,356
13.01.2010 19:00:00,13.4893,0.971693,3.793,0
13.01.2010 20:00:00,13.815,0.971547,3.913,2
13.01.2010 21:00:00,13.815,0.977607,4.513,2
13.01.2010 22:00:00,12.6177,0.974599,4.12633,355
13.01.2010 23:00:00,13.612,0.972971,3.813,352
14.01.2010 00:00:00,13.6627,0.97418,3.793,355
14.01.2010 01:00:00,12.881,0.974046,4.013,358.667
14.01.2010 02:00:00,11.2937,0.972197,4.613,358.667
14.01.2010 03:00:00,11.2827,0.969817,5.013,355.667
14.01.2010 04:00:00,11.514,0.972666,4.813,345
14.01.2010 05:00:00,12.3137,0.970208,3.913,336
14.01.2010 06:00:00,13.547,0.971343,3.213,337.667
14.01.2010 07:00:00,12.8957,0.9722,3.763,348
14.01.2010 08:00:00,12.2413,0.973025,4.313,354
14.01.2010 09:00:00,11.478,0.971592,4.32633,342.667
14.01.2010 10:00:00,11.7743,0.968645,3.613,334.667
14.01.2010 11:00:00,12.505,0.973874,3.613,338
14.01.2010 12:00:00,11.7203,0.972525,3.52633,332.667
14.01.2010 13:00:00,11.1817,0.96823,3.313,326
14.01.2010 14:00:00,12.2157,0.968708,3.313,328
14.01.2010 15:00:00,12.6717,0.969027,3.613,333
14.01.2010 16:00:00,12.2663,0.967339,4.213,338
14.01.2010 17:00:00,11.3587,0.964523,4.713,343
